"pointid","xcoord","ycoord"
58,1991014.46097772,2477319.60416868
59,1990555.30578865,2476379.29447669
60,1989426.29987786,2476708.63858403
61,1983814.32064471,2477839.10119574
62,1986684.46445167,2476996.81376546
63,1996603.22769626,2483678.34917198
64,1994120.3392331,2482560.68166833
65,1993596.88710355,2483274.52591774
66,1993595.86780291,2483327.12735086
67,1993553.21567606,2483564.27370016
68,1989532.57934477,2479979.39714322
69,1989090.45376642,2481608.84656907
70,1989041.06223532,2481939.36787716
71,1989041.9777359,2482706.51276014
72,1990277.886514,2484162.07127652
73,1988495.88159209,2483133.89972921
74,1988104.90834595,2484393.86742245
75,1988555.00332931,2483701.71438669
76,1987589.92452173,2484422.41384042
77,1987440.65492775,2484530.48070846
78,1987158.70155024,2484840.95270392
79,1984246.49411679,2482919.42819418
80,1983723.51038753,2483769.05292908
81,1983709.52307873,2483466.78543879
82,1982997.19833026,2485011.30591117
83,1984003.61176388,2481984.90600583
84,1984191.62988225,2482536.06325283
85,1986950.60571923,2482986.57243646
86,1987493.24966086,2481392.0768326
87,1987109.61621933,2481476.93098602
88,1987295.7161365,2481397.26843587
89,1985453.69617681,2480191.86657698
90,1985991.63421549,2479960.64273141
91,1988983.11829884,2481580.05605095
92,1988798.70848274,2481009.64529183
93,1983099.07869441,2480606.33943792
94,1984421.87782721,2479302.83381727
95,1984620.03915196,2479294.57941207
96,1984611.69584671,2479288.79580843
97,1988159.39938025,2478751.68837028
98,1988500.55949504,2477957.25177013
99,1986436.19859537,2476372.20387222
100,1986311.39091679,2475735.75957153
101,1985635.74859143,2474397.72672914
102,1984305.42895389,2476410.20959615
103,1985750.2198635,2475907.86317989
104,1985869.95973888,2473445.03462935
105,1991097.45052997,2475244.62616233
106,1991534.86660536,2474510.30260002
107,1994908.21492913,2477913.82344279
108,1998155.19407334,2479516.57705184
109,2007908.52831378,2483127.66162528
110,2006250.30416981,2482805.33022235
111,2006465.40080523,2482233.70316247
112,2006860.08625371,2481086.12783998
113,2006199.32943772,2480086.54721067
114,2004643.43835817,2482823.01413348
115,2005351.15250373,2482758.09409261
116,2005685.24371406,2482215.46355098
117,2005599.8463603,2482057.34815144
118,2008953.56857171,2481134.65987054
119,2009019.56611326,2481943.91108002
120,2010742.50849798,2481505.54620404
121,2021754.38183077,2477261.4968321
122,2012625.60998353,2480398.50440708
123,2016066.07214956,2485880.07745813
124,2012292.54737385,2478913.39937209
125,2009241.29395286,2479696.0036648
126,2018413.53252746,2481492.25189567
127,2018341.09638185,2481440.87246332
128,2018307.85706093,2481418.64514933
129,2017081.84408906,2480988.73577867
130,1989736.04827287,2484952.69487427
131,1989378.77494794,2485163.66350709
132,2017008.89724313,2479354.39514973
133,2019339.4691104,2480575.69381863
134,2019970.10110743,2480134.0736406
135,2021047.38088566,2480502.50087255
136,2020694.55206353,2479476.30122648
137,2020690.38986091,2479697.49886574
138,1992605.20997922,2474263.03034434
139,1987160.8676516,2476526.91026962
140,1986897.1898856,2477090.89112469
141,2016336.69821994,2481604.79786653
142,2015870.78872661,2474744.85184768
143,2018486.5071734,2482933.34770295
144,2017126.47241716,2477480.44866994
145,2017276.13111138,2477671.85899045
146,2015757.69725541,2476524.78256828
147,2018313.85926471,2477685.51879905
148,2019510.45161805,2478832.69702129
149,2020270.21619638,2479613.33281275
150,2017931.88342422,2477685.30269892
151,2020837.37185344,2480981.83897433
152,1991817.74178345,2484573.55053557
153,1990604.87791986,2484249.46573154
154,1990421.86270464,2484200.54010074
155,1983899.19369814,2483046.72507432
156,1983864.72627644,2482871.13706378
157,1982956.66020475,2484276.64494865
158,1983288.59681372,2483191.46296545
159,1983246.04158693,2483095.64440512
160,1983588.33380243,2482789.98861269
161,1981885.29283024,2485509.34652473
162,1983254.62879234,2482227.66125866
163,1983276.21340593,2482292.75369965
164,1983602.85371157,2482764.77779682
165,2016353.33563041,2483465.14243775
166,1983835.37045796,2482882.50657094
167,1983639.37343456,2482784.49490923
168,1933023.80966834,2454747.66725798
169,1932844.11685521,2457157.46577513
170,1932494.76543526,2452736.89279205
171,1932578.78658816,2452262.65219348
172,1932658.60013841,2450739.75163471
173,1932027.79394127,2449884.60949633
174,1931633.54309306,2449856.08857838
175,1930602.09684369,2447669.86350198
176,1934824.92340227,2446855.94718957
177,1932418.45978722,2447716.78263152
178,1935116.758086,2446475.20004986
179,1936536.65457993,2445094.23038043
180,1940280.7314371,2445620.06381148
182,1929519.39266205,2455998.46654546
183,1928539.73354528,2457801.95438088
184,1928646.13761227,2456990.59297007
185,1928594.41197971,2457842.53890643
186,1928621.55859679,2457878.61672915
187,1928652.43481623,2457910.38044914
188,1928670.3262275,2457951.96957533
189,1928688.23743878,2458043.69633308
190,1927507.14799519,2459662.86825247
191,1927354.71799923,2459347.00945361
192,1927604.77175665,2459284.5669143
193,1925224.38525802,2459594.35020933
194,1926520.08667376,2459491.56824462
195,1922356.99115279,2459208.41106635
196,1920924.87885117,2461012.10870191
197,1922208.15665909,2459809.55484482
198,1927330.72378412,2449947.47323591
199,1928265.17697243,2448061.96464884
200,1928853.71414296,2447535.27851725
201,1931628.33928978,2443693.14119835
202,1931464.58388669,2443827.81178313
203,1931592.59656728,2443831.64728555
204,1931538.46823321,2443854.67120004
205,1925479.85941887,2444961.24799671
206,1926793.24454574,2444493.95100251
207,1924952.23788669,2444965.6693995
208,1924449.31067006,2445503.79003828
209,1928763.67968627,2445244.5880751
210,1928909.77567825,2445213.50515553
211,1930699.61430508,2441730.42946267
212,1930609.41174829,2441746.85367301
213,1930371.27309837,2441933.65529062
214,1929986.70505625,2443016.36657227
215,1926953.40574657,2449447.30632102
216,1926987.23346787,2449711.73208749
217,1927054.76541038,2449834.50986479
218,1924136.90107337,2450886.96092739
219,1924780.32907846,2451436.93387363
220,1921775.83958691,2450906.18793949
221,1923865.54480254,2450806.81517693
222,1926366.49557707,2445771.46860681
223,1925923.96799846,2446111.30582076
224,1918495.24712154,2464224.5802244
225,1919602.4442186,2463261.65051816
226,1920461.88415968,2465846.92074578
227,1920668.80828995,2465741.41757936
228,1922030.81124743,2463794.69155375
229,1921710.74914593,2464026.30859957
230,1922276.84820233,2463760.24143206
231,1921429.10436862,2462013.96633266
232,1926388.08869066,2459945.41173035
233,1926493.453357,2459524.28146521
234,1924974.53960073,2462053.05485726
235,1925456.92610443,2461259.37025758
236,1926030.08416527,2460386.13100781
237,1926220.02338485,2460885.59302226
238,1926069.13498986,2460406.67792075
239,1926271.72851741,2461995.459921
240,1925762.72879695,2462394.81357243
241,1925521.8482453,2462541.31486466
242,1931129.23477556,2450482.4303727
243,1930054.53039896,2449791.67063782
244,1929599.03091219,2450848.13570294
245,1929106.20380192,2453732.83471907
246,1939117.03440447,2447782.77067307
247,1933053.64528712,2450182.65678397
248,1937565.11102742,2448195.35273282
249,1934870.95493125,2451330.04180634
250,1935395.76366166,2451408.24875557
251,1935035.70553497,2451388.64774323
252,1937211.09620454,2452784.60382209
253,1937484.97787697,2450222.26080891
254,1918892.04567135,2461091.81205209
255,1919503.37665623,2459327.75804149
256,1929346.80195339,2447340.05919435
257,1928932.44709252,2445074.30336789
258,1931573.45295523,2443905.83073225
259,1931767.42927735,2444751.33786456
260,1932709.18417026,2446953.83335119
261,1931380.70773388,2444652.71540247
262,1931064.38503474,2444534.67872816
263,1930735.61242775,2443886.10251983
264,1925109.68688582,2453841.53588751
265,1925049.61514799,2453792.46805662
266,1925134.50170144,2453876.88600976
267,1926528.12067882,2459523.01566442
268,1920752.87184288,2465630.75180969
269,1920600.83884716,2465354.04993548
270,1921354.87162188,2464370.75141642
271,1930559.26361672,2444053.3050251
272,1924968.16729672,2455650.40382632
273,1924980.52110449,2455650.62462646
274,1923549.09270331,2455491.65532638
275,1924137.5752738,2452961.30153334
276,1924308.77888158,2452868.91927517
277,1923278.40403289,2453041.21368365
278,1923547.4965023,2454325.36489211
279,1924990.44351074,2453829.4489799
280,1925001.56901775,2453350.65167846
281,1926394.24979454,2452620.5336188
282,1925275.55289024,2451590.94057059
283,1926798.418849,2452416.10419009
284,1927338.22338884,2454046.57261659
285,1926763.93092728,2455478.22581792
286,1923421.07782271,2457316.38667518
287,1927036.05949861,2457068.70791925
288,1927521.76170439,2456832.9069708
289,1926935.87293553,2456367.01677748
290,1928359.03973152,2456646.47875343
291,1927001.55027688,2455301.69510679
292,1925069.26546036,2451197.5123229
293,1925466.66231056,2449589.01751023
294,1928926.853589,2456680.83107505
295,1935112.90598358,2443280.05353828
296,1933972.57946566,2444443.78577093
297,1936599.60151956,2443420.77392687
298,1922394.0219761,2448750.6222824
299,1925137.42530328,2445909.83319392
300,1923139.02364514,2449570.83229879
301,1926565.97450265,2445249.3604781
302,1929980.55205238,2447235.24592836
303,1926118.77492111,2460345.66958234
304,1920567.66712628,2465180.88532646
305,1920578.15273288,2465232.12305872
306,1920390.24401458,2465424.85398006
307,1919696.98487812,2463889.53051346
308,1920364.32459826,2458720.51535918
309,1919515.27226372,2462583.34649112
310,1919577.17080269,2462221.72506345
311,1921960.25670302,2459329.23554242
312,1922035.32085027,2459375.59827161
313,1922255.50018889,2459429.05800526
314,1920051.07310104,2463166.75075842
315,1918111.42147989,2463962.71305953
316,1919925.27532184,2466456.14802933
317,1920053.64930267,2465741.85927964
318,1925046.66984614,2453690.90969268
319,1975558.78264724,2453215.89519362
320,1975646.87220269,2453268.74162689
321,1972355.00623022,2452425.34849591
322,1971428.58734697,2450779.73405988
323,1972356.03263087,2452439.87320506
324,1971373.15681208,2450582.96063599
325,1971525.80740818,2450448.64515143
326,1969412.88597794,2443182.82597706
327,1969640.08182098,2443490.73687092
328,1968758.87226619,2445680.74884969
329,1969102.74478268,2440763.72625406
330,1969019.75573044,2440612.51815887
331,1966217.05736593,2442193.93235448
332,1964778.13596002,2442466.21922591
333,1964213.88020478,2443055.14519668
334,1962818.57542634,2443021.8265757
335,1962410.2985693,2442867.13297831
336,1961652.83509242,2443595.48923687
337,1960526.82668351,2443878.429215
338,1959738.43168716,2442894.92519581
339,1958573.87615399,2442257.74569466
340,1958688.04282586,2442233.56527944
341,1958457.55578075,2442157.21143137
342,1955598.82178097,2442061.76947128
343,1968205.13961758,2439997.31567155
344,1968286.70946893,2439567.00880064
345,1967527.35709086,2434871.66794458
346,1968019.09040044,2435185.58674221
347,1966856.27646837,2435142.07191482
348,1967907.08392993,2433185.42818297
349,1968326.02859369,2430862.18902032
350,1968356.15681265,2430727.43643548
351,1968689.85692274,2430231.09202299
352,1968105.21635467,2429863.75459173
353,1965142.95888971,2432711.26728445
354,1967172.37406737,2430147.43227032
355,1967240.57691031,2430175.88668824
356,1964618.91375978,2432769.27082096
357,1964370.63710347,2432949.81513463
358,1963216.48657685,2434295.42478179
359,1964264.70473678,2433114.86603854
360,1962221.41035038,2435233.62387246
361,1961032.57490192,2436263.60632091
362,1960989.28447466,2436249.59581209
363,1957628.99795911,2436574.79011682
364,1960502.6681683,2435966.01163355
365,1957652.62487399,2436802.89006042
366,1957782.5622558,2437262.29964966
367,1957298.2764509,2437954.03368516
368,1956485.10873895,2438258.2855767
369,1955741.25427064,2437801.47598911
370,1954586.71504378,2437527.39471655
371,1955554.79975326,2437815.9220982
372,1953947.54884137,2437111.48775471
373,1953306.60643785,2436807.96946362
374,1953318.97344564,2436850.76419057
375,1954018.55158607,2437692.11462026
376,1953239.22199543,2438585.31648259
377,1953537.06918294,2438472.53861159
378,1950100.04941909,2441658.61881746
379,1948794.32529704,2441876.67125474
380,1947526.39929878,2443255.19952263
381,1967853.26789604,2429113.41331933
382,1968504.57420609,2427794.17118877
383,1968463.95438052,2427680.4874172
384,1968528.4078211,2427205.97001846
385,1967486.35976505,2425896.96949434
386,1967145.39005039,2424909.22987249
387,1968119.26506351,2422340.28645515
388,1969004.52392085,2420726.69593928
389,1969051.75705059,2420090.36023866
390,1969031.64703792,2418745.3928919
391,1968950.23398667,2418449.21690544
392,1967912.2751332,2416261.04502782
393,1967560.59321178,2415016.62824437
394,1967599.23523612,2414929.00708921
395,1967105.42802523,2414146.69789668
396,1966434.99950314,2414504.50802195
397,1966008.07703436,2414839.01553255
398,1965794.9754002,2415501.83444984
399,1965472.67429729,2416093.68352245
400,1965644.89650571,2416918.42244169
401,1964481.01077296,2418340.97673729
402,1963614.30302731,2418840.08275151
403,1963578.86520499,2418875.71237395
404,1962590.97648305,2418037.65374633
405,1963564.62819603,2418761.00010173
406,1961267.60424989,2418517.22264825
407,1961115.04115384,2419215.8701881
408,1961282.78815944,2418706.86966765
409,1960502.40916814,2420188.57050049
410,1959588.60209283,2421145.60710301
411,1957780.20995431,2423492.04148027
412,1956247.98138966,2424142.75238994
413,1951612.37717121,2426163.55646218
414,1950320.78865806,2424379.19213879
415,1949341.08004126,2424919.57847901
416,1949405.34288172,2424872.89964962
417,1949745.59959593,2424847.67203373
418,1949742.50929399,2424842.6959306
419,1948774.95598484,2424880.91055466
420,1948294.31608225,2425587.72129965
421,1946999.02136676,2427223.45412946
422,1946116.56331119,2428031.81083838
423,1945123.34928589,2429085.92820203
424,1944105.63004516,2429159.60504841
425,1944601.79475753,2429206.97277823
426,1942851.6738557,2431740.23257311
427,1944604.30315911,2429207.2382784
428,1942596.63729514,2432632.17463465
429,1941851.61822609,2432950.80083525
430,1962265.48807813,2417389.37433819
431,1962300.98180047,2417433.04056568
432,1962427.19397993,2417637.94579468
433,1962057.40444712,2416880.25841766
434,1962139.806199,2416317.93146363
435,1961219.78171978,2414704.94794814
436,1961071.51872643,2413630.16727149
437,1961164.51248498,2413802.56688003
438,1960450.43603542,2411752.68628948
439,1967003.80636125,2413768.56855862
440,1967156.42015733,2409847.41558997
441,1966456.52481669,2412875.94959665
442,1966973.66834227,2409281.48603367
443,1966744.3439979,2409091.81471426
444,1966932.52591637,2425014.5635388
445,1966300.22951829,2424938.51259093
446,1965884.25895641,2424644.44970579
447,1966174.01803884,2424812.94121187
448,1965641.94630386,2424752.61567389
449,1964879.02222354,2424856.28373916
450,1964352.64519215,2425500.22544456
451,1963637.29094178,2425531.81136445
452,1961151.65367689,2426443.58383848
453,1961816.5722955,2426803.02836478
454,1961917.05325876,2426718.43251152
455,1962054.46434527,2426453.3071446
456,1961853.46921873,2426809.00286854
457,1961086.87523611,2426600.95023755
458,1960534.82378855,2426944.82455405
459,1959510.14124343,2427101.24105252
460,1957441.92434134,2429205.4892773
461,1959265.61708949,2419274.76452518
462,1958534.32362908,2418312.48681935
463,1958725.9108497,2417504.81911087
464,1958615.48918018,2418010.12222899
465,1958485.76539851,2416993.68348907
466,1956921.57131374,2417245.22434743
467,1956488.33114098,2417006.05979686
468,1956024.550449,2417336.04150461
469,1955028.94202219,2417646.33199996
470,1962824.46283004,2441726.41436015
471,1963493.95355154,2439244.71139773
472,1963663.32615817,2438549.50476005
473,1968946.30078419,2427452.97647396
474,1969908.64819006,2427583.84295635
475,1970277.93062255,2427379.51022771
476,1970349.1773674,2427366.48661951
477,1971650.2025865,2427419.69715301
478,1971505.0286951,2427376.34102572
479,1971200.0552031,2426181.42367343
480,1972923.7603883,2423219.79800887
481,1971547.52052185,2421078.20886058
482,1971530.49331113,2421390.73335734
483,1971517.35170286,2419035.67077465
484,1971431.3326487,2417504.28581053
485,1970754.61332266,2441957.73940578
486,1972869.03255384,2439617.02583213
487,1972504.13622411,2437038.15350854
488,1963535.39507763,2448157.1984088
489,1961792.40918029,2445211.67335437
490,1962497.43852416,2446413.61631108
491,1962639.0346133,2446749.25132239
492,1961357.12820625,2448609.18529336
493,1961010.32188791,2449035.87616199
494,1943292.46583321,2418753.70589713
495,1943270.03241909,2418940.59251479
496,1958057.60362896,2404731.19296893
497,1958240.89444435,2404868.53235539
498,1957781.25595497,2404590.84238057
499,1957891.04302409,2404730.22726832
500,1957675.9921887,2404534.47904508
501,1967690.71829371,2414789.17930117
502,1968350.11240885,2414890.89836521
503,1962330.00311875,2412811.13635585
504,1965939.43219114,2412538.80118439
505,1963880.70129502,2410948.34418308
506,1964352.74199221,2410004.66658897
507,1963206.0772703,2411550.78066236
508,1962954.61641198,2409915.08213257
509,1963837.1479676,2408629.90462345
510,1969382.27625867,2452044.5987562
511,1971670.39139921,2450267.45533736
512,1971506.31409591,2450256.13603023
513,1971434.88745094,2450239.23321959
514,1972000.73140718,2450638.0910707
515,1973765.67161834,2451714.2123482
516,1969896.55968245,2446920.54733024
517,1969850.87025369,2447164.74858398
518,1972331.1481152,2446573.79131193
519,1965995.65412654,2444161.85919344
520,1965699.64184018,2442892.90989454
521,1961326.0832867,2447117.81595443
522,1959770.1111071,2444723.14914681
523,1958649.41850154,2445313.82591869
524,1958658.8716075,2445337.43993355
525,1957386.40600638,2447757.69655728
526,1957794.9689636,2445924.19070296
527,1956661.95325029,2448280.70338655
528,1956073.74277997,2450194.32339132
529,1959743.38899028,2445043.6615486
530,1959518.33224859,2445901.14038844
531,1959860.56096405,2449349.66215954
532,1960515.03927609,2446339.71266456
533,1958870.30004061,2448368.85244205
534,1956274.13470613,2445672.8145447
535,1957766.2083455,2445626.08411528
536,1955753.81487855,2445974.65143473
537,1954878.68892759,2445689.40125514
538,1953782.5652375,2445737.07178515
539,1956153.80343037,2444510.75211309
540,1952949.22561285,2445394.02516918
541,1955019.18801605,2443911.72193596
542,1957411.9987225,2449301.52232924
543,1959239.55197308,2448941.12690234
544,1959255.61868319,2451367.21072974
545,1960523.6229815,2451229.71424317
546,1954416.3281365,2450184.57928518
547,1955142.52099369,2448521.14863793
548,1954436.35974912,2448795.38171058
549,1951743.86815399,2448542.96415167
550,1951923.5322671,2448534.64724643
551,1951235.4401339,2449803.95374555
552,1952500.84763057,2451456.58568601
553,1954187.88169268,2447414.90524147
554,1958322.72389587,2444351.1334126
555,1958224.83303424,2443918.68334034
556,1958489.47070085,2442363.68386135
557,1958134.57087741,2444143.27018173
558,1957817.05207751,2443941.06645443
559,1959768.65320618,2442163.27003518
560,1959888.97998194,2442400.87338477
561,1959614.82240934,2441745.15457194
562,1960328.05975837,2440181.05738723
563,1959170.76012977,2440891.62373458
564,1959154.32471942,2440715.61782378
565,1961563.24653601,2441490.52811164
566,1960702.29779398,2441370.21493589
567,1964566.22872661,2441951.00160154
568,1965456.43838707,2439115.10271613
569,1965535.50953685,2439112.07251422
570,1963609.61722435,2441538.86684207
571,1964237.77071983,2437931.53957099
572,1964243.11142319,2437224.97692616
573,1966209.67436128,2438929.67729939
574,1970003.28194964,2437071.79432972
575,1968484.4117934,2437201.75681154
576,1970250.37860521,2435443.24840443
577,1968271.63915944,2435516.00095023
578,1966747.02709959,2435240.22627661
579,1966577.31099274,2435240.61407686
580,1965719.89085293,2435345.88724313
581,1963636.6809414,2437258.69914739
582,1966455.12861582,2437377.39282212
583,1965942.17589287,2436666.93597483
584,1964593.43954374,2436048.90528574
585,1966709.79817615,2432815.88575031
586,1963735.9676039,2431977.53222251
587,1964218.97040799,2432931.15512288
588,1963700.33538147,2431814.96222016
589,1962030.27253004,2432660.62165256
590,1963953.13314062,2433307.85636004
591,1963134.75612539,2435621.24431649
592,1963223.60898133,2435451.72160977
593,1960439.33112843,2438046.83384358
594,1958752.61256651,2434809.2779053
595,1960213.99848656,2435594.40129959
596,1959615.00890946,2433561.58841979
597,1958060.95553106,2434094.09995504
598,1957858.72710375,2433930.06965177
599,1957973.23237584,2433135.90695179
600,1959701.49946391,2437089.75784103
601,1959674.53544693,2436247.92971104
602,1959505.52034052,2437548.14372962
603,1955569.82836271,2440899.83393975
604,1955405.8787595,2440251.90543183
605,1954148.82966809,2437762.8584648
606,1953312.64894165,2440372.76010792
607,1952001.65711629,2442088.69878823
608,1951726.28634292,2444989.04641421
609,1955154.01940094,2441976.65541769
610,1949281.96220404,2445453.44870659
611,1952575.57587761,2439957.19484629
612,1949100.11898956,2442808.5044414
613,1949057.32076261,2444209.38112336
614,1947948.32456442,2443377.89339987
615,1947260.54343141,2441898.24456833
616,1947052.17730023,2441696.36564123
617,1953555.59569461,2437466.43547818
618,1953328.17565143,2437267.55625297
619,1951766.42176819,2438010.53272072
620,1947210.59439996,2441146.29429492
621,1951477.31728618,2439466.38443729
622,1952092.61907356,2437517.13171009
623,1950834.77798165,2436586.34322409
624,1952366.41184593,2436203.18348286
625,1949599.37890388,2436875.49230613
626,1946738.54450277,2436967.09776381
627,1949335.94523803,2438332.71842356
628,1946652.71074873,2438684.17494483
629,1954294.35905971,2435955.605627
630,1954371.18110808,2435307.72811911
631,1954164.20577777,2434567.76715325
632,1955812.71961563,2430856.40791668
633,1952956.05301715,2435566.19418183
634,1950140.15964434,2433143.66065667
635,1949894.92138994,2432953.33383685
636,1949758.79050424,2432704.20258
637,1949579.7190915,2432409.60859453
638,1955841.02253345,2434956.26829784
639,1956043.75116109,2436679.00408243
640,1956398.76608459,2434730.23815554
641,1956305.25022572,2434589.46496691
642,1960406.41930771,2436223.4161956
643,1961670.66250364,2434935.88528501
644,1961446.33926241,2432330.38594465
645,1959783.39861547,2433357.45889127
646,1963681.52876963,2429947.51924446
647,1963564.84589617,2430093.91263663
648,1963346.18555851,2430131.64566039
649,1960486.82525833,2430657.2628913
650,1960202.64777942,2430735.90904081
651,1958830.92971582,2431707.3320524
652,1957863.33890665,2431347.65022595
653,1957451.82724757,2431503.81232427
654,1957195.16088598,2432173.46924586
655,1956043.40836087,2432803.61444259
656,1955865.50944887,2433699.99490692
657,1956232.44697988,2429801.15315231
658,1957728.81362196,2430617.5613663
659,1957018.75677492,2429614.84443502
660,1958352.9606149,2429114.43171997
661,1960049.40058294,2430574.17103899
662,1963419.5559047,2428330.64312652
663,1966210.72136194,2428193.76134034
664,1966605.0524102,2426431.97123117
665,1965093.67055868,2426862.41570216
666,1964993.55979565,2427512.48621143
667,1961459.77867087,2424175.72641069
668,1962374.23234659,2425443.43000881
669,1960887.47541057,2423851.15550635
670,1959760.21950088,2423275.24634378
671,1960518.3897782,2422951.11073971
672,1961160.28998232,2422115.57651368
673,1959705.6165665,2429826.11856803
674,1959927.59420625,2428383.79595998
675,1959612.87650811,2428708.05496413
676,1960422.02971753,2424809.58470976
677,1959891.53278355,2424852.65543687
678,1958167.54079817,2425874.3496801
679,1957960.56766786,2426831.87408294
680,1964159.93777082,2423798.37727313
681,1965457.07868747,2422384.3637829
682,1963909.74141331,2422007.46264561
683,1963193.02146208,2422094.17480021
684,1966354.15395224,2424852.26023662
685,1966235.61817762,2419567.87470971
686,1966392.32267627,2420043.4112091
687,1968735.44485144,2420023.18439636
688,1968077.86643745,2419586.36322135
689,1967029.68877754,2417675.62881841
690,1967689.69449307,2416443.10314244
691,1967535.74229614,2416791.13386155
692,1966451.55551356,2417502.74250956
693,1965345.00911691,2419769.45493662
694,1964785.72916481,2419623.15304451
695,1964898.4892358,2419652.64946309
696,1964467.16996425,2418532.89705812
697,1963901.68650823,2420795.23958243
698,1964472.34536751,2418721.85657708
699,1963776.60282949,2421013.41321979
700,1963768.88712463,2421122.36178838
701,1963471.62243748,2421261.02237567
702,1962554.20125989,2420452.22826648
703,1963496.98545345,2419286.04513228
704,1961306.2240742,2420386.31122498
705,1961775.2720695,2420060.24221969
706,1957242.75981595,2425393.33627727
707,1955075.06565123,2426845.34679142
708,1953678.08867173,2427969.19399896
709,1953317.7946449,2430061.43701618
710,1955246.77595933,2427037.71501253
711,1954963.3672809,2428793.58351798
712,1955208.11363499,2428191.84113914
713,1953705.67498909,2431199.44003264
714,1956676.95975974,2425795.70773059
715,1952225.6386573,2428442.40889689
716,1951882.53524129,2428759.90699678
717,1952032.54023573,2428714.34756809
718,1950736.59151984,2432643.81104198
719,1951589.58185686,2428823.80983701
720,1950846.11978879,2429327.7998543
721,1950446.9661375,2430866.10362278
722,1950642.5011606,2429037.38287147
723,1950561.74580976,2428976.83513335
724,1950582.95052311,2428995.53924512
725,1949863.63827025,2428542.29325977
726,1949658.46494108,2428850.69245393
727,1950379.68799514,2429246.37500304
728,1949829.27574861,2430312.52117426
729,1949955.5366281,2430046.99740709
730,1949648.08953455,2430508.35169755
731,1948524.77572734,2430858.27551785
732,1947907.98153902,2431888.68416657
733,1946199.35626331,2434021.40950928
734,1947412.45232705,2432712.97078552
735,1945962.61691427,2433165.4709704
736,1947288.50424901,2432005.06563984
737,1947751.25524035,2432814.09054918
738,1948059.1671342,2433817.83148111
739,1945973.99962144,2435411.99778476
740,1948139.65638487,2433849.28380091
741,1948653.09340812,2434051.152728
742,1948945.02119191,2434905.57266592
743,1949663.20974407,2434680.17672402
744,1949896.88529118,2433357.69889142
745,1947957.96027048,2435021.57743896
746,1946646.63554491,2435723.83378108
747,1947227.1759104,2436209.71678698
748,1946208.99116938,2431291.98629091
749,1950071.66000121,2431679.39983481
750,1950037.42727966,2430062.97961715
751,1950567.50011338,2427658.47820334
752,1949483.38973086,2427234.6309365
753,1949624.57711974,2427363.66841774
754,1948672.18822014,2428130.17370031
755,1947229.64901196,2428645.38662468
756,1946307.72273154,2430560.0577301
757,1944420.78654357,2432023.54635148
758,1947447.62264919,2424620.93439099
759,1949936.42681608,2423007.06507494
760,1950024.62897161,2423058.99110763
761,1949546.07427032,2422763.22112142
762,1948053.9249309,2422304.74503277
763,1948684.48702789,2422125.19701974
764,1946962.30174365,2422934.84652947
765,1945870.17615607,2423195.19289338
766,1945360.38983512,2423622.52636242
767,1944720.67393237,2424158.65899995
768,1944012.62998661,2424877.65235261
769,1942433.17569223,2426552.99000736
770,1942806.8789275,2426188.06907761
771,1940979.23517686,2426228.28740293
772,1939702.8660733,2426525.09128979
773,1940837.88008787,2426371.08889284
774,1938759.19947919,2425892.00869122
775,1938685.38193271,2425814.7736426
776,1938643.29110621,2425494.98994127
777,1938765.66218325,2423919.2055492
